Covidence #,Study ID,Title,Reviewer Name,Study ID (dup),Title (dup),Journal Subject Area (Scimago classification),What is the type of study?,What are the objectives of the study?,Which RL technique is used?,Which finance application is tested?,What are the stated key results of the study?,What are the stated limitations of the study?,What asset classes are in the dataset?,What are the number of assets in the dataset?,What is the nature of the asset price dataset?,What is the granularity of the price dataset?,What is the format of the price dataset?,What other datasets are used in the study?,What is the time frame of time series data used?:,Date Start,Date End,Is all used and produced data made publicly available and referred to in the article?,Which continents are represented in the price dataset?,Is dataset quality discussed in article?,Is out-of-sample testing applied?,Was the model tested on diverse test sets?,Was the model tested across different datasets or applications?,Is the non-stationarity problem of financial markets explicitly addressed?,Are all performance results published to avoid post-selection?,Is the process of hyperparameter tuning explicitly described?,Which evaluation metrics are used?,Are results validated using statistical tests or confidence intervals?,Is the code or workflow made publicly available and referred to?,What is the implementation status?,Does the study conduct a benchmark?,What is the model benchmarked against?,Is a standard dataset used for all models?,Does study mention Transfer Learning or similar method as potential avenue for research?,Does study mention alternative generalization methods?,Does the study propose a framework to structure RL research in finance?
306,Harnpadungkij 2022,Risk-Sensitive Portfolio Management by Using C51 Algorithm,Consensus,Harnpadungkij2022,Risk-Sensitive Portfolio Management by Using C51 Algorithm,"Biochemistry, Genetics and Molecular Biology; Chemistry; Material Science; Mathematics; Physics and Astronomy",Primary,To develop a risk-sensitive reinforcement learning (RL) trading strategy using the C51 algorithm.,Value-based Method,Portfolio Management,"First paper to investigate distributional RL in a financial application.
Conducts experiment to establish best training approach for distributional RL trading agents.",Study is limited to a two-stock portfolio.,Equity (Stocks),20,Real-world Data,Daily,Time Series,Market Data,,01.01.2000,31.03.2020,No,North America,No,Yes,None,No,No,Yes,No,Sharpe ratio; PnL; Max drawdown,Yes,No,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
300,Song 2025,Reinforcement learning-based portfolio optimization with deterministic state transition,Mathis Jander,Song2025,Reinforcement learning-based portfolio optimization with deterministic state transition,"Computer Science, Decision Sciences, Engineering, Mathematics",Primary,Improve portfolio strategy robustness and profitability on cryptocurrency datasets.,Policy-based Method,Portfolio Management,"Introduced RL framework which divides portfolio optimization task into prediction and profit policy.
Proposed patch-wise correlation modelling method for financial assets.
Used attribute based gating unit to determine which attributes affect other assets.
Provided superior investment strategies in experiments.",none,Crypto,37,Real-world Data,Other: 30 Minute,Time Series,Market Data,,01.07.2015,31.07.2018,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,Yes,Yes,Different time series; Different timeframes,No,No,Yes,No,"Sharpe ratio; Other: Calmar ratio, Accumulated portfolio value",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
300,Song 2025,Reinforcement learning-based portfolio optimization with deterministic state transition,Consensus,Song2025,Reinforcement learning-based portfolio optimization with deterministic state transition,"Computer Science, Decision Sciences, Engineering, Mathematics",Primary,Improve portfolio strategy robustness and profitability on cryptocurrency datasets.,Policy-based Method,Portfolio Management,"Introduced RL framework which divides portfolio optimization task into prediction and profit policy.
Proposed patch-wise correlation modelling method for financial assets.
Used attribute based gating unit to determine which attributes affect other assets.
Provided superior investment strategies in experiments.",none,Crypto,37,Real-world Data,Other: 30 Minute,Time Series,Market Data,,01.07.2015,31.07.2018,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,Yes,Yes,Different time series; Different timeframes,No,No,Yes,No,"Sharpe ratio; Other: Calmar ratio, Accumulated portfolio value",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
291,Park 2020,An intelligent financial portfolio trading strategy using deep Q-learning,Mathis Jander,Park2020,An intelligent financial portfolio trading strategy using deep Q-learning,"Computer Science, Engineering",Primary,Propose a trading strategy using Deep Q-Learning (DQN).,Value-based Method,Portfolio Management,"First to address infeasible actions in the field of financial trading.
Advanced research field by handling more than two risky assets.
Achieved sufficient learning by simulating all feasible actions in parallel.
Showed that proposed model can have superior performance in US and Korean markets.","Limited scalability of assets.
No risk-adjusted rewards.",Equity (Stocks),6,Real-world Data,Daily,Time Series,None,,01.01.2010,31.12.2017,No,Asia; North America,No,Yes,Different time series,No,No,Yes,No,"Sharpe ratio; Other: Cumulative return, Sterling ratio, Average turnover",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; Algorithmic Baselines,Yes,No,Yes,No
291,Park 2020,An intelligent financial portfolio trading strategy using deep Q-learning,Consensus,Park2020,An intelligent financial portfolio trading strategy using deep Q-learning,"Computer Science, Engineering",Primary,Propose a trading strategy using Deep Q-Learning (DQN).,Value-based Method,Portfolio Management,"First to address infeasible actions in the field of financial trading.
Advanced research field by handling more than two risky assets.
Achieved sufficient learning by simulating all feasible actions in parallel.
Showed that proposed model can have superior performance in US and Korean markets.","Limited scalability of assets.
No risk-adjusted rewards.",Equity (Stocks),6,Real-world Data,Daily,Time Series,None,,01.01.2010,31.12.2017,No,Asia; North America,No,Yes,Different time series,No,No,Yes,No,"Sharpe ratio; Other: Cumulative return, Sterling ratio, Average turnover",No,No,Simulation-based,Yes,Market Indexes; Random or Naive Strategies; Algorithmic Baselines,Yes,No,Yes,No
287,Kim 2022,Hybrid Deep Reinforcement Learning for Pairs Trading,Mathis Jander,Kim2022,Hybrid Deep Reinforcement Learning for Pairs Trading,"Chemical Engineering, Computer Sciences, Engineering, Materials Science, Physics and Astronomy",Primary,"Propose HDRL-Trader, a hybrid DRL approach for pairs trading that combines two networks.",Value-based Method; Actor-Critic Method,Algorithmic Trading,"Applied dimensionality reduction and clustering for robust feature extraction.
Derived accurate state representations from preprocessed features using state representation learning.
Combined RL and behavior cloning to learn behavior of prophetic expert that sees future spread movements.
Extended TD3 to determine trading actions.
Extended DDQN to determine stop loss boundaries.
Demonstrated superior performance over benchmark models.",none,Equity (Stocks),40,Real-world Data,Daily,Time Series,None,,01.01.2013,31.12.2020,No,North America,No,No,Different time series,No,Yes,Yes,Yes,Sharpe ratio; Max drawdown; Other: Rate of Return,No,No,Simulation-based,Yes,Market Indexes; State of the Art Algorithms,Yes,No,Yes,No
287,Kim 2022,Hybrid Deep Reinforcement Learning for Pairs Trading,Consensus,Kim2022,Hybrid Deep Reinforcement Learning for Pairs Trading,"Chemical Engineering, Computer Sciences, Engineering, Materials Science, Physics and Astronomy",Primary,"Propose HDRL-Trader, a hybrid DRL approach for pairs trading that combines two networks.",Value-based Method; Actor-Critic Method,Algorithmic Trading,"Applied dimensionality reduction and clustering for robust feature extraction.
Derived accurate state representations from preprocessed features using state representation learning.
Combined RL and behavior cloning to learn behavior of prophetic expert that sees future spread movements.
Extended TD3 to determine trading actions.
Extended DDQN to determine stop loss boundaries.
Demonstrated superior performance over benchmark models.",none,Equity (Stocks),40,Real-world Data,Daily,Time Series,None,,01.01.2013,31.12.2020,No,North America,No,No,Different time series,No,Yes,Yes,Yes,Sharpe ratio; Max drawdown; Other: Rate of Return,No,No,Simulation-based,Yes,Market Indexes; State of the Art Algorithms,Yes,No,Yes,No
282,Liu 2023,Multi-type data fusion framework based on deep reinforcement learning for algorithmic trading,Mathis Jander,Liu2022,Multi-type data fusion framework based on deep reinforcement learning for algorithmic trading,Computer Science,Primary,"Propose the MSF-DRL framework, which integrates stock data, technical indicators, and candlestick charts",Value-based Method,Algorithmic Trading,"Proposed multi-type data fusion framework based on DRL.
Achieved fusion by adding different data source features.
Used LSTM and CNN for feature extraction.",none,Equity (Stocks),30,Real-world Data,Daily,Time Series,Market Data,,01.01.2010,01.01.2021,No,Asia; North America,,Yes,None,No,Yes,Yes,No,"Sharpe ratio; PnL; Max drawdown; Other: Annualized return, Max drawdown duration",No,No,Simulation-based,Yes,Market Indexes; State of the Art Algorithms,Yes,No,No,No
282,Liu 2023,Multi-type data fusion framework based on deep reinforcement learning for algorithmic trading,Consensus,Liu2022,Multi-type data fusion framework based on deep reinforcement learning for algorithmic trading,Computer Science,Primary,"Propose the MSF-DRL framework, which integrates stock data, technical indicators, and candlestick charts",Value-based Method,Algorithmic Trading,"Proposed multi-type data fusion framework based on DRL.
Achieved fusion by adding different data source features.
Used LSTM and CNN for feature extraction.",none,Equity (Stocks),30,Real-world Data,Daily,Time Series,Market Data,,01.01.2010,01.01.2021,No,Asia; North America,,Yes,None,No,Yes,Yes,No,"Sharpe ratio; PnL; Max drawdown; Other: Annualized return, Max drawdown duration",No,No,Simulation-based,Yes,Market Indexes; State of the Art Algorithms,Yes,No,No,No
275,Bouyaddou 2025,Integration of investor behavioral perspective and climate change in reinforcement learning for portfolio optimization,Mathis Jander,Bouyaddou 2025,Integration of investor behavioral perspective and climate change in reinforcement learning for portfolio optimization,"Business, Management and Accounting; Economics, Econometrics and Finance",Primary,Optimize portfolio selection with respect to environmental impact,Policy-based Method,Portfolio Management,Introduction of novel model; Demonstration of model outperforming benchmark models; Provision of insights into investor behavior data improving model performance,considers only scope 1 and 2 emissions,Equity (Stocks),30,Real-world Data,Daily,Time Series,Social Media Data; Other: Emissions Data,,01.01.2015,01.01.2023,No,North America,No,Yes,None,No,Yes,Yes,No,Sharpe ratio; PnL; Other: Average weighted emissions,Yes,No,Simulation-based,Yes,Market Indexes; State of the Art Algorithms,Yes,No,No,No
275,Bouyaddou 2025,Integration of investor behavioral perspective and climate change in reinforcement learning for portfolio optimization,Consensus,Bouyaddou 2025,Integration of investor behavioral perspective and climate change in reinforcement learning for portfolio optimization,"Business, Management and Accounting; Economics, Econometrics and Finance",Primary,Optimize portfolio selection with respect to environmental impact,Policy-based Method,Portfolio Management,Introduction of novel model; Demonstration of model outperforming benchmark models; Provision of insights into investor behavior data improving model performance,considers only scope 1 and 2 emissions,Equity (Stocks),30,Real-world Data,Daily,Time Series,Social Media Data; Other: Emissions Data,,01.01.2015,01.01.2023,No,North America,No,Yes,None,No,Yes,Yes,No,Sharpe ratio; PnL; Other: Average weighted emissions,Yes,No,Simulation-based,Yes,Market Indexes; State of the Art Algorithms,Yes,No,No,No
268,Mattera 2023,Shrinkage estimation with reinforcement learning of large variance matrices for portfolio selection,Mathis Jander,Mattera2023,"Shrinkage estimation with reinforcement learning of large variance
matrices for portfolio selection",Computer Science,Primary,Address the high-dimensional covariance estimation issue in portfolio selection.,Policy-based Method,Portfolio Management,Applied DRL for estimation of large covariance matrices to minimize resulting portfolio variance.,none,Equity (Stocks),200,Real-world Data,Other: Monthly,Time Series,None,,01.07.1963,01.04.2022,No,North America,,Yes,Different timeframes,No,No,Yes,No,"Sharpe ratio; Other: Portfolio returns, VaR",Yes,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
